№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
13218,РОССИЯ,Челябинская область,Миасс,М-5,"г. Миасс, 1763 км а/д Челябинск - Москва, п.Горный",РегионUno,+,+,,,,
13219,РОССИЯ,Челябинская область,Миасс,,"Челябинская обл., г. Миасс, ш. Тургоякское",Лукойл,+,+,,,"AdBlue, Доп. товары",
13220,РОССИЯ,Челябинская область,Миасское,,"6 км а/д «Миасское-Шадринск», Миасское, Челябинская обл., Россия, 456680",Газпромнефть,+,+,,,,T
13221,РОССИЯ,Челябинская область,Миасское,,"38 км а/д ""Челябинск-Новосибирск"" (слева)",Газпромнефть,+,+,,,,T
13222,РОССИЯ,Челябинская область,Миасское,,"Р-254, Миасское, Челябинская обл., Россия, 456660",Газпромнефть,+,+,,,,T
13223,РОССИЯ,Челябинская область,Миасское,,"Центральная улица, 21а,с. Миасское, Красноармейский р-н, Челябинская обл.",Стандарт Ойл,+,+,+,,,A
13224,РОССИЯ,Челябинская область,Миасское,,"Р-254,30 км (справа),  Красноармейский р-н,Челябинская обл., Россия, 456660",Татнефть,+,+,+,,,R
13225,РОССИЯ,Челябинская область,Миасское,,"Р-254, 30-й км (слева), Красноармейский р-н",Татнефть,+,+,+,,,R
13226,РОССИЯ,Челябинская область,Миасское,75К-142,"Челябинская обл., с. Миасское, пер. Кирова, 1В",Лукойл,+,+,,,"AdBlue, Доп. товары",
13227,РОССИЯ,Челябинская область,Миасское,Е30,"с. Миасское, 38 км трассы М-51",РегионUno,+,+,,,,
13228,РОССИЯ,Челябинская область,Миасское,Е30,"с. Миасское, 38 км трассы М-51",РегионUno,+,+,,,,
13229,РОССИЯ,Челябинская область,Мирный,,"Челябинская обл., Красноармейский р-н, п. Мирный, доп. тер. СТО 30 км",АГНКС,,,,,Метан,A
13230,РОССИЯ,Челябинская область,Новогорный,,"АЗС № 082, Челябинская обл.,  п. Новогорный",РегионUno,+,+,,,,C
13231,РОССИЯ,Челябинская область,Новое Поле,М5 Урал,"АЗС № 188/2, М5, 17 км, Челябинская обл., Сосновский р-он, д.Новое Поле, справа от Челябинска",РегионUno,+,+,,,,C
13232,РОССИЯ,Челябинская область,Новое Поле,М5 Урал,"АЗС № 188/1, М5, 17 км, Челябинская обл., Сосновский р-он, д.Новое Поле, слева от Челябинска",РегионUno,+,+,,,,C
13233,РОССИЯ,Челябинская область,Новое Поле,Е30,"Челябинская обл., Сосновский район, д. Новое поле, ул. Луговая; 17 км автодороги Челябинск-Екатеринбург (правая), 26 стр 2",РегионUno,+,+,,,,
13234,РОССИЯ,Челябинская область,Новое Поле,М-5,"д. Новое поле, 17км а/д Челябинск-Екатеринбург (левая)",РегионUno,+,+,,,,
13235,РОССИЯ,Челябинская область,Нязепетровск,,"г. Нязепетровск, ул. Свердлова, д. 196",Get Petrol,+,+,,,,A
13236,РОССИЯ,Челябинская область,Озерск,,"ул. Кыштымская, 58, Озёрск, Челябинская обл., Россия, 456796",ОПТИ,+,+,,,,T
13237,РОССИЯ,Челябинская область,Озерск,,"Челябинская обл., г. Озерск, ул. Челябинская, д. 37",Лукойл,+,+,,,,
13238,РОССИЯ,Челябинская область,Озёрск,,"Челябинская обл., г. Озерск, Озерское шоссе, 5А",Бета,+,+,,,,A
13239,РОССИЯ,Челябинская область,Октябрьское,М36,"Челябинская область, с. Октябрьское ул. Садовая 1.",РегионUno,+,+,,,,C
13240,РОССИЯ,Челябинская область,Октябрьское,75К-192,"с. Октябрьское, ул. Садовая, 1",РегионUno,+,+,,,,
13241,РОССИЯ,Челябинская область,Первомайский,,"АЗС № 162, Челябинская область, п. Первомайский, ул. Заводская, 19",РегионUno,+,+,,,,C
13242,РОССИЯ,Челябинская область,Петровский Участок,,"Р-254, Курганское ш., посёлок Петровский, Красноармейский район, Челябинская обл., Россия, 456671",ОПТИ,+,+,,,,T
13243,РОССИЯ,Челябинская область,Петропавловка,,"г. Пласт , тракт Магнитогорский 4",Salavat,+,+,+,,Метан,A
13244,РОССИЯ,Челябинская область,Пласт,75К-004,"Челябинская обл., г. Пласт, Магнитогорский тракт, д. 2",Лукойл,+,+,,,"AdBlue, Доп. товары",
13245,РОССИЯ,Челябинская область,Пласт,,"г. Пласт, тр. Магнитогорский, 4",Salavat,,,+,,,
13246,РОССИЯ,Челябинская область,Роза,,"г. Коркино, п. Роза, ул. Заотвальная, 23",РегионUno,+,+,,,,C
13247,РОССИЯ,Челябинская область,Рудничный,М5 Урал,"М5, 1674 км, Челябинская обл, Сатнинский р-он, б.н.п. п.Рудничный,  АЗС №5, справа от Челябинска",Зюраткуль,+,+,+,,,A
13248,РОССИЯ,Челябинская область,Рудничный,М5 Урал,"М5, 1674 км, Челябинская обл, Саткинский р-он, б н.п. п.Рудничный, АЗС №4,  слева от г.Челябинска",Зюраткуль,+,+,+,,,A
13249,РОССИЯ,Челябинская область,Самарка,,"М-5 Урал, 1833 км (справа), Чебаркульский р-н, Челябинская обл.",Газпромнефть,+,+,,,,T
13250,РОССИЯ,Челябинская область,Самарка,,"а/д Урал, Самарка, Челябинская обл., Россия, 456408",Газпромнефть,+,+,,,,T
13251,РОССИЯ,Челябинская область,Сатка,М5 Урал,"М5, 1707 км, Челябинская обл., Саткинский р-он, б.н.п. г.Сатка,  АЗС №7, слева от Челябинска",Зюраткуль,+,+,+,,,A
13252,РОССИЯ,Челябинская область,Сатка,,"Челябинская область, г. Сатка, ул. 18-я Годовщина Октября, 66,АЗС №2",Зюраткуль,+,+,+,,,A
13253,РОССИЯ,Челябинская область,Сатка,,"Челябинская обл., г. Сатка, ул. Бакальская, д. 3А",Лукойл,+,+,,,"AdBlue, Доп. товары",
13254,РОССИЯ,Челябинская область,Сим,,"Челябинская обл., г. Сим, Федеральная трасса М-5 «Урал», 1595км",АЗС Сим МТК,+,+,,,,A
13255,РОССИЯ,Челябинская область,Сим,М-5,"Челябинская обл., г. Сим, ул. Гайдара, д. 34",Лукойл,+,+,,,"AdBlue, Доп. товары",
13256,РОССИЯ,Челябинская область,Снежинск,,"ул. Широкая, 16, Снежинск, Челябинская обл., Россия, 456770",Газпромнефть,+,+,,,,T
13257,РОССИЯ,Челябинская область,Снежинск,,"ул. Широкая, 15",Газпромнефть,+,+,,,,T
13258,РОССИЯ,Челябинская область,Снежинск,,"ул. В.З. Нечая, 1Б",Татнефть,+,+,,,,R
13259,РОССИЯ,Челябинская область,Снежинск,,"Челябинская обл., г. Снежинск, ул. Транспортная, д. 56",Лукойл,+,+,,,,
13260,РОССИЯ,Челябинская область,Степное,1Р 360,"Челябинская область, Пластовский район, с.Степное, 131 км а/д Магнитогорск - Ю-Уральск",Mgas,,,+,,,A
13261,РОССИЯ,Челябинская область,Степное,75К-004,"Челябинская обл., с. Степное, 78 км а/д Южноуральск-Магнитогорск",Лукойл,+,+,,,"AdBlue, Доп. товары",
13262,РОССИЯ,Челябинская область,Сулея,1Р 317,"Р317, а/д Бирск-Тастуба-Сатка, 280 км, Челябинская обл., п. Сулея, слева  АЗС №9",Зюраткуль,+,+,+,,,A
13263,РОССИЯ,Челябинская область,Султаево,М5 Урал,41 км М5 (справа),Газпромнефть,+,+,,,,T
13264,РОССИЯ,Челябинская область,Султаево,,39 км а/д Челябинск-Екатеринбург (слева),Газпромнефть,+,+,,,,T
13265,РОССИЯ,Челябинская область,Сычево,,75К-138 (пересечение с а/д Петровский-Лазурный),Газпромнефть,+,+,,,,T
13266,РОССИЯ,Челябинская область,Тимирязевский,,"М5, 1830 км, Челябинская обл., Чебаркульский р-он, п. Тимирязевский, слева от Челябинска",Salavat,+,+,+,,,A
13267,РОССИЯ,Челябинская область,Тимирязевский,,"Россия, Челябинск, трасса М-5, 1829-й километр",Экотоп,,,+,,,A
13268,РОССИЯ,Челябинская область,Травники,М5 Урал,"М5, 1804 км, Челябинская обл., Чебаркульский р-он, п.Травники",Травники-Ойл,+,+,,,,A
13269,РОССИЯ,Челябинская область,Травники,М5 Урал,"М5, 1804 км, Челябинская обл., Чебаркульский р-он, п.Травники",Травники-Ойл,+,+,,,,A
13270,РОССИЯ,Челябинская область,Трехгорный,,"Челябинская обл., г. Трехгорный, ул. Мира, 1б",Лукойл,+,+,,,,
13271,РОССИЯ,Челябинская область,Трёхгорный,,"ул. Строителей, 6А, Трёхгорный, Челябинская обл., Россия, 456080",Газпромнефть,+,+,,,,T
13272,РОССИЯ,Челябинская область,Троицк,,"А-310, Троицкий район, Челябинская обл., Россия, 457145",Газпромнефть,+,+,,,,T
13273,РОССИЯ,Челябинская область,Троицк,,"с. Нижняя Санарка, 18 км а/д Троицк-Степное",Get Petrol,+,+,,,,A
13274,РОССИЯ,Челябинская область,Троицк,,"г. Троицк, пересеч. ул. Сибирской и ул. Ловчикова",Get Petrol,+,+,,,,A
13275,РОССИЯ,Челябинская область,Троицк,,"ул. им. М.И. Глинки, Троицк, Челябинская обл., Россия, 457103",Газпромнефть,+,+,,,,T
13276,РОССИЯ,Челябинская область,Троицк,,"Степная улица, 3/1, Троицк, Челябинская обл., Россия, 457113",Газпромнефть,+,+,,,,T
13277,РОССИЯ,Челябинская область,Троицк,,"Челябинская область, Троицк, Юго-Восточный тракт, 40/1",MAXOIL,+,+,,,,A
13278,РОССИЯ,Челябинская область,Троицк,,"Челябинская обл., г. Троицк, Октябрьский тракт",АЗС,+,+,,,,A
13279,РОССИЯ,Челябинская область,Троицк,,"г. Троицк, ул. Автодромная, д. 2 А",Get Petrol,+,+,,,,A
13280,РОССИЯ,Челябинская область,Троицк,,"ул. Ретрансляторная, 1",Get Petrol,+,,,,,A
13281,РОССИЯ,Челябинская область,Троицк,Е123,"Челябинская обл., г. Троицк, Челябинский тракт",Лукойл,+,+,,,"AdBlue, Доп. товары",
13282,РОССИЯ,Челябинская область,Тюбук,,"АЗС № 118, Челябинская обл,  с. Тюбук",РегионUno,+,+,,,,C
13283,РОССИЯ,Челябинская область,Уйское,,"Челябинская обл., с. Уйское, ул. Ленина, д. 88А",Tamic Energy,+,+,+,,,A
13284,РОССИЯ,Челябинская область,Уйское,,"Челябинская обл., с. Уйское, ул. Ленина, дом 92",БАШ-ЕВРО 5,+,+,,,,A
13285,РОССИЯ,Челябинская область,Усть-Катав,,"1622 км М5 (справа), Усть-Катав, Челябинская обл., Россия, 456040",Газпромнефть,+,+,,,,T
13286,РОССИЯ,Челябинская область,Усть-Катав,,"М5, Усть-Катав, Челябинская обл., Россия, 456040",ОПТИ,+,+,,,AdBlue,T
13287,РОССИЯ,Челябинская область,Усть-Катав,,"г. Усть-Катав, ул. Строителей, д. 17 А (Партнерская АЗС)",ЭкоPower,+,+,,,,
13288,РОССИЯ,Челябинская область,Фершампенуаз,,"Челябинская обл., с.Фершампенуаз, ул. Советская, 125",Salavat,+,+,+,,,A
13289,РОССИЯ,Челябинская область,Фершампенуаз,,"Челябинская обл., Фершампенуаз, ул. Советская, 123",Salavat,,,+,,,A
13290,РОССИЯ,Челябинская область,Фершампенуаз,75К-174,"Челябинская обл., с. Фершампенуаз, ул. Советская, д. 121",Лукойл,+,+,,,"AdBlue, Доп. товары",
13291,РОССИЯ,Челябинская область,Фершампенуаз,,"с. Фершампенуаз, ул. Советская, д. 123",Salavat,,,+,,,
13292,РОССИЯ,Челябинская область,Чебаркуль,,"АЗС № 198, Челябинская обл., г. Чебаркуль, пересечение ул. 1-го Мая и ул. Крупской",РегионUno,+,+,,,,C
13293,РОССИЯ,Челябинская область,Чебаркуль,,"Челябинская обл., Чебаркульский район, 1-ый км автодороги Чебаркуль-Уйское-Сурменевский-Магнитогорск",Salavat,+,+,+,,,A
13294,РОССИЯ,Челябинская область,Чебаркуль,,"п. Мисяш 5,5 км. а/д Мисяш-Чебаркуль., Россия, 456445",Газпромнефть,+,+,,,,T
13295,РОССИЯ,Челябинская область,Чебаркуль,,"г. Чебаркуль, ул. 1 Мая, д. 1 А",RusOil,,,+,,,A
13296,РОССИЯ,Челябинская область,Чебаркуль,,"ул. Карпенко, 18",Get Petrol,+,,,,,A
13297,РОССИЯ,Челябинская область,Чебаркуль,,"Челябинская обл., г. Чебаркуль, ул. 1 Мая, д. 1",Лукойл,+,+,,,"AdBlue, Доп. товары",
13298,РОССИЯ,Челябинская область,Чебаркуль,75К-277,"Челябинская обл., г. Чебаркуль, 1 км а/д Чебаркуль-Архангельское",Лукойл,+,+,,,Доп. товары,
13299,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г.Челябинск, Троицкий тракт, 12, АЗС №189",РегионUno,+,+,,,,C
13300,РОССИЯ,Челябинская область,Челябинск,,"Челябинск, Валдайская улица, 27/1, АЗС №8",Get Petrol,+,+,+,,,A
13301,РОССИЯ,Челябинская область,Челябинск,,"АЗС № 404, Челябинская область, г. Челябинск, ул. Молодогвардейцев, 31/1",РегионUno,+,+,,,,C
13302,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Механическая 105/1",Get Petrol,+,+,+,,,A
13303,РОССИЯ,Челябинская область,Челябинск,,"Россия, Челябинская область, Сосновский район, поселок Томино,на въезде",Get Petrol,+,+,+,,,A
13304,РОССИЯ,Челябинская область,Челябинск,,"Копейское ш., 38, Челябинск, Челябинская обл., Россия, 454012",Татнефть,+,+,,,,R
13305,РОССИЯ,Челябинская область,Челябинск,,"ул. Бейвеля, 9, Челябинск, Челябинская обл., Россия, 454021",Татнефть,+,+,,+,,R
13306,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Линейная, д. 54 А, стр. 1",Tamic Energy,+,+,+,,,A
13307,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Копейское шоссе, д. 33 В",Tamic Energy,+,+,+,,,A
13308,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, пр. Победы 290/1",Get Petrol,+,+,+,,,A
13309,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Троицкий тракт, 7, за постом ГАИ",РегионUno,+,+,,,,C
13310,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Красноармейская, 74",РегионUno,+,+,,,,C
13311,РОССИЯ,Челябинская область,Челябинск,1Р 336,"г, Челябинск, ул. Доватора, 1М",РегионUno,+,+,,,,C
13312,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Монтажников, 13/1",Get Petrol,+,+,,,,A
13313,РОССИЯ,Челябинская область,Челябинск,,"ул. Куйбышева, 3",Газпромнефть,+,+,,,,T
13314,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Танкистов, 193 Д",Get Petrol,+,+,,,,A
13315,РОССИЯ,Челябинская область,Челябинск,,"Челябинск, ул. Мамина, д. 1/1",Get Petrol,+,+,+,,,A
13316,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Северная 40/1",Get Petrol,+,+,+,,,A
13317,РОССИЯ,Челябинская область,Челябинск,,"ул. Елькина-Курчатова, 2/1",Газпромнефть,+,+,,,,T
13318,РОССИЯ,Челябинская область,Челябинск,,"пр-кт Победы, 305 к 1",Газпромнефть,+,+,,,,T
13319,РОССИЯ,Челябинская область,Челябинск,,"Свердловский тракт, 1Б, Челябинск, Челябинская обл., Россия, 454052",Татнефть,+,+,,,,R
13320,РОССИЯ,Челябинская область,Челябинск,,"Свердловский тракт, 6 к 1, Челябинск, Челябинская обл., Россия, 454036",Татнефть,+,+,,,,R
13321,РОССИЯ,Челябинская область,Челябинск,,"Новоградский тракт, Челябинская обл., Россия, 454021",Газпромнефть,+,+,,,,T
13322,РОССИЯ,Челябинская область,Челябинск,,"ул. Чичерина, 15 корпус 1, Челябинск, Челябинская обл., Россия, 454021",Газпромнефть,+,+,,,,T
13323,РОССИЯ,Челябинская область,Челябинск,,"Троицкий тракт, 61",Газпромнефть,+,+,,,,T
13324,РОССИЯ,Челябинская область,Челябинск,,"ул. Механическая, 38/1, Челябинск, Челябинская обл., Россия, 454081",Газпромнефть,+,+,,,,T
13325,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Новоградский проспект,  66 ст 1",РегионUno,+,+,,,,C
13326,РОССИЯ,Челябинская область,Челябинск,,"АЗС № 199, Челябинская область, г. Челябинск, Копейское шоссе, 56в",РегионUno,+,+,,,,C
13327,РОССИЯ,Челябинская область,Челябинск,,"АЗС № 186, Челябинская область, г. Челябинск, п. Сухомесово",РегионUno,+,+,,,,C
13328,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Игуменка, 119",Челябнефтепродукт,+,+,,,,A
13329,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Копейское шоссе, 63",Челябнефтепродукт,+,+,,,,A
13330,РОССИЯ,Челябинская область,Челябинск,,"Троицкий тракт, 76/1, Челябинск, Челябинская обл., Россия, 454000",Газпромнефть,+,+,,,,T
13331,РОССИЯ,Челябинская область,Челябинск,,"ул. Академика Макеева, 12, Челябинск, Челябинская обл., Россия, 454000",Газпромнефть,+,+,,,,T
13332,РОССИЯ,Челябинская область,Челябинск,,"АЗС № 194/1, Челябинская обл., 38,3-ой км а/д М-51 Байкал-Челябинск-Новосибирск",РегионUno,+,+,,,,C
13333,РОССИЯ,Челябинская область,Челябинск,,"с. Миасское, Красноармейский р-н, 38,3 км а/д М-51 ""Байкал"" Челябинск-Новосибирск",РегионUno,+,+,,,,C
13334,РОССИЯ,Челябинская область,Челябинск,,"Комсомольский пр-кт, 4/1",Газпромнефть,+,+,,,,T
13335,РОССИЯ,Челябинская область,Челябинск,,"ул. Ямальская, 1, Челябинск, Челябинская обл., Россия, 454015",Газпромнефть,+,+,,,,T
13336,РОССИЯ,Челябинская область,Челябинск,,"ул. 1-я Потребительская, 2 к. 1",Газпромнефть,+,+,,,,T
13337,РОССИЯ,Челябинская область,Челябинск,,"ул. Братьев Кашириных, 75/1, Челябинск, Челябинская обл., Россия, 454106",Газпромнефть,+,+,,,,T
13338,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Профинтернов, 110",Get Petrol,+,+,,,,A
13339,РОССИЯ,Челябинская область,Челябинск,,"тер. Челябинский Электродный Завод, 2/1",Газпромнефть,+,+,,,,T
13340,РОССИЯ,Челябинская область,Челябинск,,"Копейское ш., 37/1",Газпромнефть,+,+,,,,T
13341,РОССИЯ,Челябинская область,Челябинск,,"ул. Луценко, 1/1",Газпромнефть,+,+,,,,T
13342,РОССИЯ,Челябинская область,Челябинск,,"Свердловский тракт, 12В",Газпромнефть,+,+,,,,T
13343,РОССИЯ,Челябинская область,Челябинск,,"ул. Героев Танкограда, 20/1",Газпромнефть,+,+,+,,,T
13344,РОССИЯ,Челябинская область,Челябинск,,"Бродокалмакский тракт, 2/1",Газпромнефть,+,+,,,,T
13345,РОССИЯ,Челябинская область,Челябинск,,"Копейское ш., 2К, Челябинск, Челябинская обл., Россия, 454012",Газпромнефть,+,+,,,,T
13346,РОССИЯ,Челябинская область,Челябинск,,"ул. Доватора, 1А/2, Челябинск, Челябинская обл., Россия, 454048",Газпромнефть,+,+,,,,T
13347,РОССИЯ,Челябинская область,Челябинск,,"ул. Блюхера, 92",Газпромнефть,+,+,,,,T
13348,РОССИЯ,Челябинская область,Челябинск,,"ул. Асфальтная станция, 7/1, Челябинск, Челябинская обл., Россия, 454901",Газпромнефть,+,+,,,,T
13349,РОССИЯ,Челябинская область,Челябинск,,"ул. Чистопольская, 21/1, Челябинск, Челябинская обл., Россия, 454139 (Автоматическая)",Газпромнефть,+,+,,,,T
13350,РОССИЯ,Челябинская область,Челябинск,,"ул. Челябинская, 38А",Газпромнефть,+,+,,,,T
13351,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск Новый Кременкуль, Новоградский тракт, 9/2 (слева)",Газпромнефть,+,+,,,,T
13352,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Горького, 18/1",Татойл,+,+,,,,A
13353,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Хохрякова, 29",Татойл,+,+,,,,A
13354,РОССИЯ,Челябинская область,Челябинск,,"Уфимский тракт, 122/4, Челябинск, Челябинская обл., Россия, 454045",Татнефть,+,+,,,,R
13355,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, а.д. Челябинск-Троицк, 43-й км",Экотоп,+,+,+,,,A
13356,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Копейское шоссе, 32/1",Экотоп,+,+,+,,,A
13357,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Копейское шоссе, 82А",Экотоп,+,+,+,,,A
13358,РОССИЯ,Челябинская область,Челябинск,,"Челябинская область, Сосновский район, левая сторона на 45,8 км автодороги «Обход Челябинска», юго-восточнее деревни Ключи",Экотоп,+,+,+,,,A
13359,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Радонежская улица, 3",Экотоп,+,+,+,,,A
13360,РОССИЯ,Челябинская область,Челябинск,,"а/д Меридиан, 7-й км, 2А",Экотоп,+,+,+,,,A
13361,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ш. Копейское, 1А/1",Экотоп,+,+,+,,,A
13362,РОССИЯ,Челябинская область,Челябинск,,"Сосновский р-н, а/д Челябинск-Екатеринбург, 20й км (Южная сторона)",Экотоп,+,+,+,,,A
13363,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Молодогвардейцев, 61/1",Экотоп,+,+,+,,,A
13364,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Сталеваров, 1А/3",Экотоп,+,+,+,,,A
13365,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Молодогвардейцев, 2/3",Экотоп,+,+,+,,,A
13366,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Павелецкая 2-я, 11/2",Экотоп,+,+,+,,,A
13367,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Героев Танкограда, 15/1",Экотоп,+,+,+,,,A
13368,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Блюхера, 95/1",Экотоп,+,+,+,,,A
13369,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск Шенкурская, 9/1",Экотоп,+,+,+,,,A
13370,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Копейское шоссе, 53",Price,+,+,+,,,A
13371,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, пр. Ленина, 26К, ст.1",Price,+,+,+,,,A
13372,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Самохина, 184/1",Get Petrol,+,+,,,,A
13373,РОССИЯ,Челябинская область,Челябинск,,"ул. Петра Столыпина, Челябинск, Челябинская обл., Россия, 454021",Татнефть,+,+,+,,,R
13374,РОССИЯ,Челябинская область,Челябинск,,"Копейское ш., 19/2, Челябинск, Челябинская обл., Россия, 454012",Татнефть,+,+,,,,R
13375,РОССИЯ,Челябинская область,Челябинск,,"пр-кт Новоградский, 60с1",Татнефть,+,+,+,,,R
13376,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Артиллерийская, д.124 в, стр.2, АГЗС 7",RusOil,,,+,,,A
13377,РОССИЯ,Челябинская область,Челябинск,,"ул. Бажова, 33/1",НОВАТЭК,,,+,,,T
13378,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Бажова, 35/1",Экотоп,,,+,,,A
13379,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Автодорожная, 8",Экотоп,,,+,,,A
13380,РОССИЯ,Челябинская область,Челябинск,,"ул. Героев Танкограда, 20/1, Челябинск, Челябинская обл., Россия, 454081",Экотоп,,,+,,,A
13381,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, Героев Танкограда, 2ж",Экотоп,+,,+,,,A
13382,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Станционная, 1/1",Экотоп,+,,+,,,A
13383,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Свердловский тракт, 10/4",Экотоп,,,+,,,A
13384,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Молодогвардейцев, 7/1",Экотоп,,,+,,,A
13385,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Троицкий тракт, 15/15, стр. 1",Экотоп,,,+,,,A
13386,РОССИЯ,Челябинская область,Челябинск,,"Челябинская область, г. Челябинск, Северный тракт 9, строение 2",КРИО-ГАЗ,,,+,,,A
13387,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Автодорожная, 12Б",Price,+,,+,,,A
13388,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Городская, 1/4",Price,+,,+,,,A
13389,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Косарева, 2 корпус 5",Get Petrol,+,,,,,A
13390,РОССИЯ,Челябинская область,Челябинск,,"ул. Завалишина, 41/2, Челябинск, Челябинская обл., Россия, 454077",Газпромнефть,+,,,,,T
13391,РОССИЯ,Челябинская область,Челябинск,,"ул. Дзержинского, 81А, Челябинск, Челябинская обл., Россия, 454010",Газпромнефть,+,,,,,T
13392,РОССИЯ,Челябинская область,Челябинск,,"ул. Машиностроителей, 10, Челябинск, Челябинская обл., Россия, 454119 (Автоматическая)",Газпромнефть,+,,,,,T
13393,РОССИЯ,Челябинская область,Челябинск,,"ул. Горького, 17, к. 1",Газпромнефть,+,,,,,T
13394,РОССИЯ,Челябинская область,Челябинск,,"пр-кт Победы, 400 к 1",Газпромнефть,+,,,,,T
13395,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Шота Руставели, 32/1",Get Petrol,+,,,,,A
13396,РОССИЯ,Челябинская область,Челябинск,,"ул. Заболотная, 17/4",Get Petrol,+,,,,,A
13397,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Труда, д. 11",Римэкс,,,,+,Шиномонтаж,A
13398,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Артиллерийская, 117/3",Aquagizer,,,,+,,A
13399,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Ярослава Гашека, д. 5",Блеск,,,,+,,A
13400,РОССИЯ,Челябинская область,Челябинск,,"г. Челябинск, ул. Вторая базовая, д. 56",Стандарт,,,,+,,A
13401,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, пр-т Комсомольский, 22-в",Лукойл,+,+,,,"AdBlue, Доп. товары",
13402,РОССИЯ,Челябинская область,Челябинск,Р-254,"Челябинская обл., г. Челябинск, Бродокалмакский тракт, 46",Лукойл,+,+,,,"AdBlue, Доп. товары",
13403,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, ул. Черкасская, д. 24",Лукойл,+,+,,,Доп. товары,
13404,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, ш. Копейское, 33-б, 1",Лукойл,+,+,,,"AdBlue, Доп. товары",
13405,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, ул. Воровского, 37",Лукойл,+,+,,,"AdBlue, Доп. товары",
13406,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, ул. Труда, 157-б",Лукойл,+,+,,,"AdBlue, Доп. товары",
13407,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, пр-т Победы, 2-а, соор. 1",Лукойл,+,+,,,Доп. товары,
13408,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, Свердловский тракт, 1-л, соор. 1",Лукойл,+,+,,,"AdBlue, Доп. товары",
13409,РОССИЯ,Челябинская область,Челябинск,,"Челябинская обл., г. Челябинск, ул. Братьев Кашириных, 65-а, 1",Лукойл,+,+,,,"AdBlue, Доп. товары",
